MS1_coverage,MS1_duration_ms,MS1_occurrence,MS2_coverage,MS2_duration_ms,MS2_occurrence,MS3_coverage,MS3_duration_ms,MS3_occurrence,MS4_coverage,MS4_duration_ms,MS4_occurrence,T_1_1,T_1_2,T_1_3,T_1_4,T_2_1,T_2_2,T_2_3,T_2_4,T_3_1,T_3_2,T_3_3,T_3_4,T_4_1,T_4_2,T_4_3,T_4_4,band,subject
0.288581548321808,80.73684210526316,3.574347730191886,0.2120866146840173,67.06461538461538,3.162421993590825,0.307354982679658,81.76013805004314,3.7592277852018112,0.1919768543145166,61.91213389121339,3.1007953085875166,0.950499055840302,0.012633755957198,0.0206815933818901,0.0161855948206096,0.0171285251116412,0.9403560286291064,0.0242246283721783,0.018290817887074,0.0204305614183199,0.0159983115238497,0.9510764035458,0.0124947235120303,0.0228424680678515,0.0212880989389741,0.0204771237412989,0.9353923092518752,delta,sub-001
0.1936245572609209,22.45054531778864,8.624492390726157,0.3085356202239319,32.509911141490086,9.49050949050949,0.3058370201227344,31.995928062436377,9.558623194986833,0.1920028023924127,22.585272796642503,8.50123902071954,0.8218856798230919,0.0294846880654023,0.0658714735642967,0.082758158547209,0.0166098986585929,0.8769605987973592,0.0637063201715655,0.0427231823724822,0.055911424086879,0.0534085606414117,0.8749840919696262,0.0156959233020828,0.0639232380566254,0.0829110075005068,0.0302723156970065,0.8228934387458612,theta,sub-001
0.2707552188071668,21.614707405489384,12.526434604356682,0.2299129441986585,20.90356826894721,10.998741518222038,0.2672392542522412,21.54602510460251,12.403181234350066,0.2320925827419334,19.60975609756097,11.835567030372223,0.8149408213139105,0.0562077722938329,0.0665580526139249,0.0622933537783315,0.0616782348625924,0.808645110321088,0.0598724676936967,0.0698041871226228,0.0781143800368967,0.0535974366443344,0.8143509078551315,0.0539372754636372,0.0648479427549195,0.0622763864042933,0.0768112701252236,0.7960644007155635,alpha,sub-001
0.2705072705072705,61.50157728706625,4.398379398379398,0.2278215611548945,64.98504837291117,3.5057535057535056,0.2245532245532245,64.33568904593639,3.490336823670157,0.2771179437846104,64.84559884559884,4.273504273504273,0.934982332155477,0.0129944146814088,0.0211330217713438,0.0308902313917702,0.0178648765699436,0.9384473798181032,0.0190558683412732,0.0246318752706799,0.0264458724666337,0.0218322623166913,0.9378261108364916,0.0138957543801834,0.0273710445502692,0.0202278695091014,0.0140860741466019,0.9383150117940272,delta,sub-002
0.2361835695169028,26.648112715254825,8.863050529717196,0.2579272579272579,27.782132181999337,9.283925950592616,0.2669121002454336,28.078494972429453,9.505926172592838,0.2389770723104056,26.73542600896861,8.938592271925605,0.8498955613577024,0.0662924281984334,0.0282506527415143,0.0555613577023498,0.0571893080858795,0.8560225696934921,0.0620427485296227,0.0247453736910055,0.0162881500820183,0.0653143266409444,0.8575422221195389,0.0608553011574983,0.0684351775392237,0.0169281585466556,0.0642289430222956,0.8504077208918249,theta,sub-002
0.2732761066094399,20.97999763285596,13.02555469222136,0.2305595638928972,19.50339071465832,11.82151182151182,0.2336120669454002,19.37501598261092,12.057387057387055,0.2625522625522625,20.50373224175295,12.805096138429471,0.8093604729882204,0.0385205578372523,0.0714446901656361,0.0806742790088911,0.050604472023109,0.794907456938055,0.0767091045255162,0.0777789665133197,0.0832035477654884,0.0751260459836866,0.7935485574004171,0.0481218488504078,0.0799746335963923,0.0731397970687711,0.0419720030063885,0.8049135663284479,alpha,sub-002
0.2004715284715284,49.01612115290669,4.08991008991009,0.2036043956043956,48.64152744630072,4.185814185814186,0.311984015984016,70.68718877320055,4.413586413586414,0.2839400599400599,65.58006460544532,4.329670329670329,0.9183941955031096,0.0371152926168075,0.007096156912773,0.0373943549673098,0.0379980372914622,0.917801766437684,0.0370951913640824,0.0071050049067713,0.0044316930091964,0.0253349386479493,0.9434126597843072,0.026820708558547,0.0255010132852961,0.004925692411619,0.0305674397658185,0.9390058545372664,delta,sub-003
0.3467652347652347,29.68799178925761,11.68031968031968,0.2979420579420579,26.378913851052538,11.294705294705295,0.1797802197802197,18.148446954417103,9.906093906093906,0.1755124875124875,18.14583763685189,9.672327672327672,0.8652653898453525,0.059738643434972,0.0167093042015257,0.0582866625181497,0.0799087982832618,0.8483637339055794,0.0584763948497854,0.0132510729613733,0.0376100293411576,0.1019382946563528,0.7796301235885125,0.080821552413977,0.0919812394699694,0.0349710851054141,0.0934839032830927,0.7795637721415236,theta,sub-003
0.1755684315684315,19.06117136659436,9.21078921078921,0.3295104895104895,26.353467561521253,12.503496503496503,0.3221898101898102,26.11856171039845,12.335664335664337,0.1727312687312687,18.52013710368466,9.326673326673326,0.7901852779168753,0.0809851140346884,0.0704693403741976,0.0583602676742386,0.0409895707009459,0.8482173174872666,0.069512490904681,0.0412806209071064,0.0406062410080865,0.0707694597410329,0.84685221015032,0.0417720891005606,0.0593161523157359,0.0752324989589598,0.0814324711978901,0.7840188775274141,alpha,sub-003
0.2302389917774533,57.64502164502164,3.994082840236687,0.2732805655882579,62.58161020677519,4.366787059094752,0.2161684469376777,55.02200488997555,3.92876354414816,0.2803119956966111,66.17142857142858,4.236148466917697,0.93064085447263,0.0118157543391188,0.0248331108144192,0.0327102803738317,0.0109948821776053,0.936083459872898,0.0277262246217873,0.0251954333277093,0.0308922858158549,0.0301102026306434,0.9273018130110202,0.0116956985424813,0.0224250897826027,0.0293883817199879,0.0086355785837651,0.9395509499136442,delta,sub-004
