MS_A_coverage,MS_A_occurrence,MS_A_duration_ms,MS_B_coverage,MS_B_occurrence,MS_B_duration_ms,MS_C_coverage,MS_C_occurrence,MS_C_duration_ms,MS_D_coverage,MS_D_occurrence,MS_D_duration_ms,Trans_A_to_B,Trans_A_to_C,Trans_A_to_D,Trans_B_to_A,Trans_B_to_C,Trans_B_to_D,Trans_C_to_A,Trans_C_to_B,Trans_C_to_D,Trans_D_to_A,Trans_D_to_B,Trans_D_to_C,subject,band
0.4411692203899996,4.080335249166418,108.120826709062,0.07534024417141301,2.2445087380152318,33.566473988439306,0.2720266746240772,3.7527407657277787,72.48746758859119,0.21146386081451016,3.2986494025455064,64.10619469026548,0.21479713603818615,0.420843277645187,0.3643595863166269,0.44653179190751446,0.3569364161849711,0.19653179190751446,0.3941227312013829,0.24027657735522903,0.3656006914433881,0.48475909537856443,0.1415929203539823,0.37364798426745327,sub-001,delta
0.43368319991696613,10.547893664776781,41.11562115621156,0.07812966254524696,5.779934351362923,13.51739618406285,0.3133619627126121,9.704581133152562,32.29010695187166,0.17482517482517482,7.567108216458866,23.103300471495928,0.2017220172201722,0.4323493234932349,0.36592865928659285,0.46520763187429853,0.35802469135802467,0.17676767676767677,0.45454545454545453,0.26871657754010697,0.2767379679144385,0.4554030874785592,0.13807890222984562,0.4065180102915952,sub-001,theta
0.39217924932210646,15.88346718216848,24.691035327751685,0.09593004398199204,9.175889046018916,10.454577589254153,0.29153962920196685,14.57633275815094,20.000890075656432,0.22035107749393465,12.6496879743633,17.41948717948718,0.20563610373698182,0.4084133142740453,0.38595058198897286,0.4354895722870272,0.33545422410745845,0.22905620360551432,0.42755397284665037,0.26953038059203205,0.3029156465613176,0.4471794871794872,0.15666666666666668,0.39615384615384613,sub-001,alpha
0.28678112011445345,3.8557121890455224,74.37824870051979,0.253024753024753,3.7000037000037,68.385,0.2641370974704308,3.8819205485872152,68.04289118347896,0.19605702939036274,2.9522946189612855,66.40835509138381,0.3554578168732507,0.3746501399440224,0.2698920431827269,0.33208333333333334,0.4195833333333333,0.24833333333333332,0.39968216130313866,0.34445768772348034,0.255860150973381,0.3639686684073107,0.3362924281984334,0.29973890339425585,sub-002,delta
0.25151391818058483,8.807550474217141,28.556625240679153,0.3022594689261356,9.020300686967353,33.5088019142027,0.23046706380039714,8.6333419666753,26.695,0.21575954909288242,7.507924174590841,28.73757700205339,0.3112745098039216,0.4103641456582633,0.27836134453781514,0.3763459237737139,0.3173816441633909,0.30627243206289523,0.32321428571428573,0.4110714285714286,0.26571428571428574,0.3490759753593429,0.36365503080082134,0.28726899383983573,sub-002,theta
0.25772992439659104,13.452596785930119,19.158377263350907,0.2673992673992674,13.565138565138565,19.712240027275826,0.27433677433677434,13.824138824138824,19.84476413516226,0.2005340338673672,11.03063603063603,18.179734451432566,0.34460233784093514,0.3823057529223012,0.2730919092367637,0.3591317195135811,0.3652687805432436,0.27559949994317534,0.35913450814186926,0.379098817755967,0.26176667410216375,0.3277428371767994,0.3344514325646401,0.3378057302585604,sub-002,alpha
0.34341658341658343,3.948051948051948,86.98380566801619,0.18635764235764235,3.2907092907092905,56.6314511232544,0.24354845154845156,3.658341658341658,66.57345712725287,0.22667732267732268,3.148851148851149,71.98730964467005,0.27884615384615385,0.38309716599190285,0.33805668016194335,0.34547662416514874,0.3679417122040073,0.286581663630844,0.4191256830601093,0.34316939890710385,0.23770491803278687,0.40609137055837563,0.2969543147208122,0.2969543147208122,sub-003,delta
0.421002997002997,11.774225774225775,35.75632105888342,0.16082317682317682,9.302697302697302,17.287800687285223,0.2047952047952048,10.205794205794206,20.066562255285827,0.21337862137862137,8.815184815184816,24.205802357207617,0.28219921941286275,0.3561853045986764,0.3616154759884609,0.3720730397422127,0.3907626208378088,0.23716433941997853,0.3938919342208301,0.37568519968676584,0.23042286609240406,0.48685403445149594,0.24342701722574797,0.2697189483227561,sub-003,theta
0.34015584415584416,13.696303696303696,24.835594456601022,0.196995004995005,11.368631368631368,17.327943760984184,0.2206033966033966,12.08991008991009,18.246901338621715,0.24224575424575426,11.37062937062937,21.30451590230188,0.2774617067833698,0.362217359591539,0.36032093362509116,0.37932852873967304,0.3276498505888557,0.29302162067147125,0.37530986613782846,0.36803834077012065,0.2566517930920509,0.4262871200140573,0.2742927429274293,0.29942013705851345,sub-003,alpha
0.3294167371090448,4.435948666717898,74.26071892594197,0.2815953277491739,4.236148466917697,66.47437641723356,0.2670944440175209,4.2438330899869365,62.937075599818925,0.12189349112426036,2.664643049258434,45.74477289113194,0.4174967518406236,0.36855781723689907,0.21394543092247725,0.3411978221415608,0.4437386569872958,0.2150635208711434,0.45314622000905386,0.35717519239474876,0.18967858759619738,0.4008651766402307,0.32588320115356884,0.2732516222062004,sub-004,delta
