subject,band,MS_duration_variance,MS_occurrence_variance,MS_coverage_CV
sub-001,delta,73.67476740464912,0.0763514794179693,0.19577783460288736
sub-001,theta,23.72789883897601,0.23369588755817505,0.2287886109538475
sub-001,alpha,0.6478815165798707,0.3638280813753342,0.07621381498199646
sub-002,delta,2.0031476351001833,0.17749664177696017,0.095819675411856
sub-002,theta,0.3954297575424115,0.06790868562199066,0.051429922772687604
sub-002,alpha,0.45464540297279776,0.25111336767787457,0.0733711480055024
sub-003,delta,96.44672854026456,0.015691601106186517,0.19595476524363123
sub-003,theta,25.803534398018286,0.74647530291886,0.29759810906376544
sub-003,alpha,13.901835228592653,2.487162188460891,0.30360370121921215
sub-004,delta,18.643363466593897,0.03157420906092348,0.10946914169391912
sub-004,theta,2.0367067945326274,0.0024073500523086626,0.05370566396111186
sub-004,alpha,3.974582617343693,0.213048172854638,0.06816198977224182
sub-005,delta,64.2317943702848,0.035776745460153386,0.15112663648369137
sub-005,theta,26.12052928010038,1.0274364073099314,0.2910668151938288
sub-005,alpha,8.018589721120136,2.4359497522958065,0.2641037494253269
sub-006,delta,31.668308846068143,0.029885419320318754,0.02822033411389939
sub-006,theta,1.319165970328314,0.26137856248758623,0.09141752793965768
sub-006,alpha,2.8025063935575174,1.7001169269758662,0.18728270479458559
sub-007,delta,1.5336700062987467,0.021065660114111637,0.04598146252473131
sub-007,theta,8.967704949725507,0.4259737983045919,0.16848447754802695
sub-007,alpha,11.545719529037163,0.8945798675600115,0.24179399674503765
sub-008,delta,70.66919878534203,0.11932061445048472,0.2080293870395
sub-008,theta,41.0488748209597,2.3307065686561192,0.3825255991514212
sub-008,alpha,23.02323898652993,3.36707654233878,0.37898638367532206
sub-009,delta,37.989514991248555,0.035967543408449654,0.03723427346711406
sub-009,theta,9.79111323125478,0.056393806303503886,0.09450283083766536
sub-009,alpha,0.18878919111722867,0.19086130708237975,0.04775105939642715
sub-010,delta,123.24212119233991,0.10111943229107201,0.2581568862766012
sub-010,theta,2.395303807129713,0.4391002747101659,0.1270072802224947
sub-010,alpha,0.4719506132535435,0.1580189845914173,0.06472057934667962
sub-011,delta,83.34269357978734,0.3190580513883371,0.285107748932219
sub-011,theta,32.99211068086143,0.22551959883476386,0.25237017422940894
sub-011,alpha,1.698904931824897,1.5210665194062212,0.16431234841097744
sub-012,delta,12.789721338728448,0.005931108009150609,0.06806871136093992
sub-012,theta,1.6630281640352957,0.2517887500704886,0.09888167755507427
sub-012,alpha,0.2878397435600938,0.01154303818925891,0.021160228999304632
sub-013,delta,296.61262498200085,0.024546152246576792,0.277549554954307
sub-013,theta,0.8140171483568142,0.11305827559885992,0.06468805534428153
sub-013,alpha,0.08626032738612996,0.02683324244575525,0.020910883115488655
sub-014,delta,180.263376581508,0.013381029088854413,0.21999526931309973
sub-014,theta,15.359027822505613,0.2615777368866277,0.212295189672506
sub-014,alpha,5.752448865357319,2.8916199988033124,0.2549611237924995
sub-015,delta,18.763598861868868,0.05918347445241604,0.12078335516369768
sub-015,theta,43.93289023562884,2.8652893706814853,0.413898721241793
sub-015,alpha,14.208911120134989,0.548317060406079,0.22986583801846436
sub-016,delta,11.540176342496446,0.020887529262032266,0.0764075248687239
sub-016,theta,11.64995783876539,0.2741372328328922,0.1886165035674774
sub-016,alpha,3.2272212779290546,0.7432455984943924,0.15708372465301584
sub-017,delta,225.2665201271568,0.1758774194655214,0.29008152261389747
sub-017,theta,5.764925753907722,0.49815843485134553,0.16204501329754636
sub-017,alpha,6.550138200467906,4.642482926931991,0.3000630809015698
sub-018,delta,533.5222262622382,0.23588700658456477,0.44737152103011013
sub-018,theta,29.93585817322006,1.1046792950287097,0.30587247205763657
sub-018,alpha,14.233923560944367,3.6676756001928474,0.33872011477599523
sub-019,delta,50.71920581078155,0.06312318837341074,0.15417238157204444
sub-019,theta,3.907567548089452,0.017113749833652856,0.0753136775612132
sub-019,alpha,0.39982447235715113,0.2122752571478297,0.059159508676497226
sub-020,delta,2.3889644909091485,0.01868460112967786,0.03602326910602414
sub-020,theta,0.9655703938070117,1.055932937301158,0.07643295554990485
sub-020,alpha,1.1566872151961407,0.2845055843912818,0.015896322639020685
sub-021,delta,37.83423788861477,0.0005658005664655787,0.11171179371366126
sub-021,theta,10.451981941691399,0.30382977802606986,0.17002648174783883
sub-021,alpha,9.758820981744984,2.6085078525703707,0.28825697191331034
sub-022,delta,125.6275356992865,0.1283729867645953,0.25328069844001355
sub-022,theta,17.819528970018304,0.9654292871076089,0.2557374079863561
sub-022,alpha,6.031781146822019,0.6069466109426155,0.18601745118818316
sub-023,delta,468.1333092190289,0.6001942383214252,0.4974343209940106
sub-023,theta,58.61227710265329,1.1855920255883259,0.3783831460238446
sub-023,alpha,13.35996241030432,4.083969321378342,0.3435432873295721
sub-024,delta,219.71302968743635,0.00950834323542701,0.25285369022205995
sub-024,theta,170.8970223330033,13.510162567186622,0.7904146103526225
sub-024,alpha,16.370370167081916,1.7558078426686183,0.30422232346978034
sub-025,delta,69.91445734026387,0.013451477148912497,0.10205003022270209
sub-025,theta,17.914166055620836,0.01199443175923737,0.16436975664271564
sub-025,alpha,0.5099874955255289,0.033122199042216575,0.030886281279801857
sub-026,delta,15.121101952970001,0.19633147108350485,0.1646228073651367
sub-026,theta,26.911088011553343,2.5034886060340207,0.3512962371753343
sub-026,alpha,7.5241417753614135,1.3073990412022298,0.2293911494236297
sub-027,delta,4.334382810651241,0.01181293944118595,0.031601688352077745
sub-027,theta,13.94658061814129,0.11603625980666638,0.16742995477079298
sub-027,alpha,7.013621903008869,0.9118406610744781,0.204840335144212
sub-028,delta,3.73618957970126,0.043873215676075036,0.0735231557558806
sub-028,theta,17.527474274845225,0.13940088329381492,0.12031584366487237
sub-028,alpha,0.9241069658048292,0.031589113959446184,0.05260244877410628
sub-029,delta,244.23030245085232,0.04022380903312464,0.1926930513674464
sub-029,theta,24.100826356747834,0.06677692624558258,0.2000660349407362
sub-029,alpha,36.8984722601464,16.741757555631185,0.6002176695475361
sub-030,delta,122.84113060118311,0.04936284471256037,0.12143586733877375
sub-030,theta,16.862676452645957,0.09508888802157965,0.1708903742913014
sub-030,alpha,34.37787101062631,19.14871893659456,0.6067361616817363
sub-031,delta,15.465909424797012,0.006726436720032318,0.07406238258999137
sub-031,theta,109.19092475590358,9.100506647812427,0.6671750466280595
