subject,duration_minutes
sub-001,4.694333333333334
sub-002,5.434
sub-003,4.206
sub-004,4.399333333333333
sub-005,4.159
sub-006,4.367666666666667
sub-007,3.997
sub-008,3.908
sub-009,4.136
sub-010,5.711666666666667
sub-011,2.602
sub-012,2.009333333333333
sub-013,2.051
sub-014,2.0933333333333333
sub-015,2.0136666666666665
sub-016,2.0276666666666667
sub-017,3.087
sub-018,2.5260000000000002
sub-019,3.1013333333333337
sub-020,3.0196666666666667
sub-021,2.655666666666667
sub-022,2.5623333333333336
sub-023,2.8183333333333334
sub-024,2.521666666666667
sub-025,2.731666666666667
sub-026,2.380333333333333
sub-027,2.02
sub-028,2.5766666666666667
sub-029,3.3890000000000002
sub-030,2.9356666666666666
sub-031,3.0223333333333335
sub-032,2.5266666666666664
sub-033,2.1893333333333334
sub-034,2.915
sub-035,3.374
sub-036,2.0286666666666666
sub-037,2.1626666666666665
sub-038,2.267333333333333
sub-039,2.755333333333333
sub-040,2.2886666666666664
sub-041,2.509333333333333
sub-042,2.4443333333333332
sub-043,2.1876666666666664
sub-044,2.325
sub-045,2.4223333333333334
sub-046,2.188
sub-047,2.1823333333333332
sub-048,3.967
sub-049,2.0276666666666667
sub-050,2.074
sub-051,2.074333333333333
sub-052,2.1823333333333332
sub-053,2.1073333333333335
sub-054,2.0833333333333335
sub-055,2.0726666666666667
sub-056,2.319666666666667
sub-057,2.1963333333333335
sub-058,2.0853333333333333
sub-059,2.2616666666666663
sub-060,2.442
sub-061,2.0833333333333335
sub-062,2.0846666666666667
sub-063,2.6056666666666666
sub-064,2.6936666666666667
sub-065,2.0643333333333334
sub-066,2.3103333333333333
sub-067,2.145
sub-068,2.0283333333333333
sub-069,2.1086666666666667
sub-070,2.023
sub-071,2.271
sub-072,2.5256666666666665
sub-073,2.223
sub-074,2.3316666666666666
sub-075,2.1936666666666667
sub-076,2.2016666666666667
sub-077,2.704
sub-078,2.431
sub-079,2.649
sub-080,2.4523333333333333
sub-081,2.183333333333333
sub-082,2.677
sub-083,3.054333333333333
sub-084,2.0909999999999997
sub-085,2.12
sub-086,2.586
sub-087,2.112
sub-088,2.022
sub-089,2.6146666666666665
sub-090,2.3636666666666666
sub-091,2.0233333333333334
sub-092,2.0266666666666664
sub-093,2.204
sub-094,2.3853333333333335
sub-095,2.0556666666666668
sub-096,2.1753333333333336
sub-097,2.6599999999999997
sub-098,2.0336666666666665
sub-099,2.037
sub-100,2.3263333333333334
